nome,tipo,logradouro,numero,bairro,subprefeitura,latitude,longitude,quantidade_de_material
CENTRO INTEGRADO DE EDUCACAO PUBLICA HENFIL,CIEP,RUA CARLOS SEIDL ,S/N,CAJU,CENTRO,-22.88089,-43.22533,20
EM ALICE DO AMARAL PEIXOTO,ESCOLA,RUA EBANO ,187,BENFICA,CENTRO,-22.88957,-43.2362,121
EM CELESTINO SILVA,ESCOLA,RUA DO LAVRADIO ,56,CENTRO,CENTRO,-22.90929,-43.18358,220
ESCOLA MUNICIPAL FLORIANO PEIXOTO,ESCOLA,PRACA ARGENTINA ,20,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190
EM PEREIRA PASSOS,ESCOLA,PRACA CONDESSA PAULO DE FRONTIN ,45,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67
E.M PRESIDENTE JOSE LINHARES,ESCOLA,RUA BARAO DA TORRE ,90,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
EM SANTA CATARINA,ESCOLA,RUA EDUARDO SANTOS ,38,SANTA TERESA,CENTRO,-22.91553,-43.19159,92
E.M TIA CIATA,ESCOLA,AVENIDA PRESIDENTE VARGAS ,S/N,CENTRO,CENTRO,-22.90712,-43.19507,578
EM URUGUAI,ESCOLA,RUA ANA NERI ,192,BENFICA,CENTRO,-22.89849,-43.23776,591
EM MARIO CLAUDIO,ESCOLA,RUA HADDOCK LOBO ,148,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
CIEP PRESIDENTE AGOSTINHO NETO,CIEP,RUA VISCONDE DE SILVA ,S/N,HUMAITA,ZONA SUL,-22.95917,-43.19972,456
CIEP TANCREDO NEVES,CIEP,RUA DO CATETE ,77,CATETE,ZONA SUL,-22.92279,-43.17668,223
EM ALBERTO BARTH,ESCOLA,AVENIDA OSWALDO CRUZ ,124,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420
EM CICERO PENA,ESCOLA,AVENIDA ATLANTICA ,1976,COPACABANA,ZONA SUL,-22.96865,-43.18114,573
EM COCIO BARCELOS,ESCOLA,RUA BARAO DE IPANEMA ,34,COPACABANA,ZONA SUL,-22.97483,-43.18906,0
EM HENRIQUE DODSWORTH,ESCOLA,AVENIDA EPITACIO PESSOA ,474,IPANEMA,ZONA SUL,-22.98195,-43.21358,516
EM MEXICO,ESCOLA,RUA DA MATRIZ ,67,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319
ESCOLA MUNICIPAL MINAS GERAIS,ESCOLA,AVENIDA PASTEUR ,433,URCA,ZONA SUL,-22.95382,-43.16889,308
EM PRESIDENTE DA COSTA E SILVA,ESCOLA,RUA ASSUNCAO ,257,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111
EM SENADOR CORREA,ESCOLA,RUA SEN CORREA,NAO INFORMADO,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525
CIEP SAMUEL WEINER,CIEP,AVENIDAHEITOR BELTRAO ,S/N,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445
EM AFRANIO PEIXOTO,ESCOLA,RUA FERREIRA PONTES ,328,ANDARAI,GRANDE TIJUCA,-22.92685,-43.25491,164
E.M AZEVEDO SODRE,ESCOLA,RUA BARAO DE UBA ,331,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293
EM DUQUE DE CAXIAS,ESCOLA,RUA MAL JOFRE ,74,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399
ESCOLA MUNICIPAL EQUADOR,ESCOLA,BOULEVARD  DE SETEMBRO ,28,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185
EM LAUDIMIA TROTTA,ESCOLA,RUA ANTONIO BASILIO ,370,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576
EM PRUDENTE DE MORAES,ESCOLA,RUA ENES DE SOUSA ,36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63
ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,ESCOLA,RUA OITO DE DEZEMBRO ,275,MARACANA/ VILA ISABEL,GRANDE TIJUCA,-22.90982,-43.23939,491
ESCOLA MUNICIPAL BARAO HOMEM DE MELO,ESCOLA,RUA ALM JOAO CANDIDO BRASIL ,352,MARACANA/ TIJUCA,GRANDE TIJUCA,-22.91683,-43.23692,0
EM ALMIRANTE TAMANDARE,ESCOLA,AVENIDA PRESIDENTE JOAO GOULART ,296,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336
EM LUCIA MIGUEL PEREIRA,ESCOLA,RUA MARTAGAO GESTEIRA S/N,S/N,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159
E.M NOSSA SENHORA DA POMPEIA,ESCOLA,RUA CIRNE MAIA ,109,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342
EM SANTOS ANJOS,ESCOLA,RUA HUMBERTO DE CAMPOS S/N,S/N,LEBLON,ZONA SUL,-22.98156,-43.21703,262
EM ALAGOAS,ESCOLA,AVENIDA DOM HELDER CAMARA ,6742,PILARES,ZONA NORTE,-22.88134,-43.29409,440
EM BRIGADEIRO FARIA LIMA,ESCOLA,RUA VIOLETA ,S/N,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365
EM FELIX PACHECO,ESCOLA,RUA ASSIS CARNEIRO ,649,PIEDADE,ZONA NORTE,-22.89509,-43.31383,0
ESCOLA MUNICIPAL GEORGE SUMMER,ESCOLA,RUA ANA NERI,NAO INFORMADO,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183
EM PROFESSOR AUGUSTO PAULINO,ESCOLA,RUA CONEGO TOBIAS ,116,MEIER,ZONA NORTE,-22.90416,-43.28033,44
EM RIO GRANDE DO SUL,ESCOLA,RUA ADOLFO BERGAMINI ,201,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109
E.M. SARMIENTO,ESCOLA,RUA VINTE QUATRO DE MAIO ,931,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350
EM TAGORE,ESCOLA,PRACA FREDERICO DUVAL ,S/N,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255
CIEP CHANCELER WILLY BRANDT,CIEP,RUA ALVARO SEIXAS ,S/N,JACARE,ZONA NORTE,-22.89418,-43.26385,457
CIEP PATRICE LUMUMBA,CIEP,PRACA DA CONFEDERACAO SUICA ,S/N,DEL CASTILHO,ZONA NORTE,-22.87835,-43.27489,493
CENTRO INTEGRADO DE EDUCACAO PUBLICA VINICIUS DE MORAES,ESCOLA,AVENIDA DOM HELDER CAMARA ,1715,JACARE,ZONA NORTE,-22.88532,-43.2541,489
EM DOMINGOS BEBIANO,ESCOLA,ESTRUA ADHEMAR BEBIANO ,1870,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456
EM CARDEAL CAMARA,ESCOLA,RUA ANAMA ,98,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504
EM JOAQUIM RIBEIRO,ESCOLA,PRACA SOLDADO COSME DOS SANTOS ,28,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530
EM PERNAMBUCO,ESCOLA,RUA CONDE DE AZAMBUJA ,579,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158
ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,ESCOLA,AVENIDA DOS DEMOCRATICOS ,268,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123
EM ANDRADE NEVES,ESCOLA,RUA VIANA DO CASTEL  ,S/N,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468
EM ARY QUINTELLA,ESCOLA,RUA ENG MOREIRA LIMA ,54,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234
EM BERLIM,ESCOLA,PRACA RAMOS FIGUEIRA ,20,OLARIA,ZONA NORTE,-22.84779,-43.26144,24
CIEP NELSON MANDELA,CIEP,PRACA DANIEL LAMES S/N,S/N,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
EM BERNARDO VASCONCELOS,ESCOLA,PRACA SANTA ROSALIA ,100,PENHA,ZONA NORTE,-22.84563,-43.28401,151
EM BRANT HORTA,ESCOLA,RUA BENTO CARDOSO ,130,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564
EM CHILE,ESCOLA,PRACA BELMONTE ,15,OLARIA,ZONA NORTE,-22.84858,-43.26859,61
EM CIENTISTA MARIO KROEFF,ESCOLA,RUA DO COUTO ,91,PENHA,ZONA NORTE,-22.83896,-43.27517,426
EM DILERMANDO CRUZ,ESCOLA,AVENIDA TEIXEIRA DE CASTRO ,407,RAMOS,ZONA NORTE,-22.85387,-43.25245,167
E.M JOAO DE DEUS,ESCOLA,PRACA ALMEIDA GARRET ,S/N,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509
EM PADRE MANUEL DE NOBREGA,ESCOLA,PRACA ELBA ,1215,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292
CENTRO INTEGRADO DE EDUCACAO PUBLICA ELIS REGINA,CIEP,RUA PRINCIPAL ,S/N,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210
EM PEDRO LESSA,ESCOLA,RUA ADAIL ,49,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153
EM PROFESSOR JOSUE DE CASTRO,ESCOLA,AVENIDA BRASIL  RUA DA VITORIA,4040,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,397
ESCOLA MUNICIPAL CARDEAL ARCOVERDE,ESCOLA,RUA AGOSTINHO BARBALHO ,401,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
EM THOMAS JEFFERSON,ESCOLA,AVENIDA PASTOR MARTIN LUTHER KING JR ,S/N,ACARI,ZONA NORTE,-22.81631,-43.34015,67
EM ABEILARD FEIJO,ESCOLA,ESTRADA DA CACUIA ,1386,CACUIA,ILHAS,-22.80769,-43.18156,561
ESCOLA MUNICIPAL ANISIO TEIXEIRA,ESCOLA,RUA SERENATA ,40,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180
E.M. ANDREA FONTES PEIXOTO,ESCOLA,RUA FAUSTO E CASTRO ,S/N,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257
EM GRANDJEAN DE MONTIGNY,ESCOLA,PRACA DOS UCRANIANOS ,S/N,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260
EM MARIO PIRAGIBE,ESCOLA,PRACA NOSSA SENHORA DAS DORES ,S/N,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317
ESCOLA MUNICIPAL PARAIBA,ESCOLA,ESTRADA MARECHAL ALENCASTRO ,4035,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345
E.M. PIAUI,ESCOLA,AVENIDA BRASIL ,23364,GUADALUPE,ZONA NORTE,-22.84541,-43.37852,0
E.M. ASPIRANTE CARLOS ALFREDO,ESCOLA,RUA IBIA ,105,TURIACU,ZONA NORTE,-22.86085,-43.34455,513
EM CECILIA MEIRELES,ESCOLA,RUA SD SERVINO MENGARDA ,260,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416
EM ESPIRITO SANTO,ESCOLA,RUA HERCULANO PENA S/N,S/N,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352
ESCOLA MUNICIPAL GRECIA,ESCOLA,AVENIDA BRAZ DE PINA ,1614,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393
EM BARONESA DE SAAVEDRA,ESCOLA,RUA MAL BIBIANO COSTALAT ,483639,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
EM MOZART LAGO,ESCOLA,RUA JOSE CARVALHO SALGADO ,S/N,OSWALDO CRUZ,ZONA NORTE,-22.87221,-43.35033,395
E.M. PARA,ESCOLA,AVENIDA DOS ITALIANOS ,500,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115
EM PARANA,ESCOLA,AVENIDA ERNANI CARDOSO ,316,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534
EM CERVANTES,ESCOLA,RUA ABILIO DOS SANTOS ,170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342
ESCOLA MUNICIPAL LUIZ DE CAMOES,ESCOLA,ESTRUA LUIZDE CAMOES ,1446,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152
CIEP JOAO BATISTA DOS SANTOS,CIEP,RUA EDGAR WERNECK ,1565,CIDADE DE DEUS,JACAREPAGUA,-22.94711,-43.35974,430
EM HELENA LOPES ABRANCHES,ESCOLA,RUA ACAPORI ,495,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466
CIEP MARGARET MEE,CIEP,RUA MINISTRO ALIOMAR BALEEIRO ,S/N,RECREIO,BARRA DA TIJUCA,-23.01981,-43.48172,51
EM CLAUDIO BESSERMAN VIANNA - BUSSUNDA,ESCOLA,ESTRADA DE JACAREPAGUA ,3327,RIO DAS PEDRAS,NAO INFORMADA,-22.97336,-43.32916,26
ESCOLA MUNICIPAL FINLANDIA,ESCOLA,RUA IGARAPEACU,NAO INFORMADO,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94
E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,ESCOLA,RUA ESPERANCA ,387,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121
EM 25 DE ABRIL,ESCOLA,RUA MAMORE ,78,FREGUESIA JPA,JACAREPAGUA,-22.93817,-43.34258,128
EM FRANCIS HIME,ESCOLA,ESTRADA PAU DA FOME ,196,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520
EM HONDURAS,ESCOLA,PRACA BARAO DA TAQUARA ,12,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392
EM MENEZES CORTES,ESCOLA,PRACA JOSE ALVES DE AZEVEDO ,43,FREGUESIA JPA,JACAREPAGUA,-22.94265,-43.33897,0
ESCOLA MUNICIPAL NELSON RODRIGUES,ESCOLA,RUA FREI LUIZ ALEVATO S/N,S/N,TAQUARA,JACAREPAGUA,-22.93533,-43.36973,279
EM PABLO NERUDA,ESCOLA,ESTRADA DO MAPUA  RUA ,S/N,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161
EM VIRGILIO VARZEA,ESCOLA,RUA JOSE SILVA ,155,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179
CIEP ANTONIO EVARISTO DE MORAES,ESCOLA,AVENIDA DE SANTA CRUZ S/N,S/N,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194
E.M. JOSE MAURO DE VASCONCELOS,ESCOLA,RUA MARLIERIA ,S/N,BANGU,GRANDE BANGU,-22.85044,-43.46686,599
EM LEONARDO DA VINCI,ESCOLA,RUA RENATO REBECCHI S/N,S/N,BANGU,GRANDE BANGU,-22.89253,-43.47295,315
E.M. NACOES UNIDAS,ESCOLA,RUA DOS LIMADORES S/N,S/N,BANGU,GRANDE BANGU,-22.88815,-43.47629,435
CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO ,S/N,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400
EM CORYNTHO DA FONSECA,ESCOLA,RUA URUQUE S/N,S/N,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148
EM. ENGENHEIRO LAFAYETTE DE ANDRADA,ESCOLA,AVENIDA DUQUE DE CAXIAS ,170,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128
EM LAURO MULLER,ESCOLA,RUA ROSA DE ALMEIDA ,113,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269
EM MOACIR PADILHA,ESCOLA,RUA GENERAL GOMES DE CASTRO ,30,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571
ESCOLA MUNICIPAL PADRE LEONEL FRANCA,ESCOLA,AVENIDA CANAL S/N,S/N,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235
EM PAULO MARANHAO,ESCOLA,RUA DO GOVERNO ,866,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187
EM TASSO DA SILVEIRA,ESCOLA,RUA GENERAL BERNARDINO DE MATOS ,S/N,REALENGO,GRANDE BANGU,-22.88386,-43.41733,0
EM VISCONDE DE PORTO SEGURO,ESCOLA,RUA TEOFILO GUIMARAES ,604,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362
CIEP CLEMENTINA DE JESUS,ESCOLA,AVENIDA ALHAMBRA ,S/N,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71
CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,ESCOLA,ESTRADA MORICABA ,S/N,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591
CIEP HERIVELTO MARTINS,CIEP,PRACA SANTO ANASTACIO S/N,S/N,AUGUSTO VASCONCELOS,NAO INFORMADA,-22.88649,-43.5288,221
CIEP PROFESSOR DARCI RIBEIRO,CIEP,RUA CONCHAS S/N,S/N,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372
COLEGIO MUNICIPAL PRESIDENTE ANTONIO CARLOS,COLEGIO,RUA PEQUIA ,97,COSMOS,ZONA OESTE,-22.91097,-43.61605,479
EM ALFREDO CESARIO ALVIM,ESCOLA,RUA RIO DA PRATA RUA LUISA MARILAC ,20,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99
EM CORA CORALINA,ESCOLA,RUA VOTORANTIM S/N KM  MENDANHA,S/N,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157
E.M FERNANDO COSTA,ESCOLA,RUA JOSE ALBANO ,S/N,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296
E.M PROFESSOR PAULO SILVA,ESCOLA,RUA JAIRO CORREA ,S/N,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330
EM JESUS SOARES PEREIRA,ESCOLA,RUA CONSOLACAO ,138,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316
CIEP ISMAEL NERY,CIEP,AVENIDA CESARIO DE MELO S/N,S/N,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106
CENTRO INTEGRADO DE EDUCACAO PUBLICA MAJOR MANUEL GOMES ARCHER,CIEP,RUA CABO SAULO DE VASCONCELOS ,S/N,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207
EM ANDRE VIDAL DE NEGREIROS,ESCOLA,RUA FELIPE CARDOSO ,750,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
EM FERNANDO AZEVEDO,ESCOLA,RUA DAS PALMEIRAS IMPERIAIS ,S/N,SANTA CRUZ,ZONA OESTE,-22.92307,-43.69233,459
EM MARECHAL PEDRO CAVALCANTI,ESCOLA,RUA PORTO FIRME ,S/N,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537
ESCOLA MUNICIPAL NELSON ROMERO,ESCOLA,RUA JOSE BALDINO ,S/N,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342
EM PESTALOZZI,ESCOLA,RUA SEVERIANO DAS CHAGAS ,S/N,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162
EM PROFESSORA FLAVIA DOS SANTOS SOARES,ESCOLA,RUA EUDALDO GOMES DA SILVA  CONJ URUCANIA,S/N,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579
E.M PROFESSORA LEILA MEHL MENEZES DE MATTOS,ESCOLA,AVENIDA MARIO PEREIRA DOS SANTOS ,S/N,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517
EM PROFESSORA SILVIA DE ARAUJO TOLEDO,ESCOLA,AVENIDA CANAL   CONJ CESARAO,3,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,0
EM WALQUIR PEREIRA,ESCOLA,ESTRADA DE SEPETIBA S/N BLOCO ,S/N,NOVA SEPETIBA,JACAREPAGUA,-22.95601,-43.68675,135
CIEP HILDEBRANDO DE ARAUJO GOES,CIEP,ESTRADA DA PEDRA ,S/N,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341
EM BERTHA LUTZ,ESCOLA,ESTRADA DO PIAI ,2075,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329
EM DEBORA MENDES DE MORAES,ESCOLA,RUA BELCHIOR DA FONSECA ,643,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570
EM ENGENHEIRO GASTAO RANGEL,ESCOLA,ESTRADA DO MAGARCA ,9183,GUARATIBA,ZONA OESTE,-22.98046,-43.64355,320
EM JONATAS SERRANO,ESCOLA,ESTRADA DO MATO ALTO ,S/N,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335
E.M. NARCISA AMALIA,ESCOLA,ESTRADA TEODORETO DE CAMARGO ,S/N,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,0
EM PROFESSOR CASTILHO,ESCOLA,CAMINHO DA MATRIZ ,4406,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521
